"","field","ini_year","cover_metacommunity_ini","cover_metacommunity_mean","gamma_stab","alpha_stab","sp_stab","species_stab","sp_asynchrony","spatial_asynchrony","pop_synchrony"
"66",4,1976,8634.8,8129.725,9.27662030640892,3.70967362598675,0.919584943735401,0.908027366344393,4.08542050987013,2.50065672662549,0.400895433474447
"67",4,1978,7814.5,8268.5875,7.94691967442864,3.55292401831924,0.933965193379902,0.918997406082882,3.86608710188113,2.23672660418672,0.413192350745981
"68",4,1980,6280.6,8480.7625,7.67020756769092,3.65365928106944,0.997330063677987,0.981373558547908,3.72300562741428,2.09932207073392,0.438981840136086
"69",4,1982,7704,8927.775,11.7933077372256,3.89875388218335,0.997222203829765,0.981526169038713,3.97213442205185,3.02489156628198,0.410210546241727
"70",4,1984,9099.4,9115.0875,15.8717272246685,3.92083237903693,1.0500900749309,1.03124269000569,3.80204622736796,4.04805043682257,0.366180611650226
"71",4,1986,8638.1,9178.8875,15.2961694508496,4.07726982123885,1.13144976095969,1.10955705859111,3.67468242364756,3.75157154701182,0.310649312696904
"72",4,1988,8571.5,9189.3,15.5753162007593,4.2061406965358,1.15336746765576,1.13406773914204,3.70889723017593,3.70299457970752,0.289066386993691
"73",4,1990,8294.9,9412.775,14.320318376917,4.16151475166512,1.0929309088674,1.065545544182,3.90552499082509,3.4411312302058,0.316726951365138
"74",4,1992,9745.7,9639.70625,18.7546261513502,4.14243659713738,1.06681436186445,1.03505915431683,4.00212546293695,4.52743831114048,0.352128634583238
"75",4,1994,9511.9,9851.997625,11.9811813078998,4.11432779883165,1.04402976423537,1.01463506346368,4.05498286722568,2.9120628918537,0.351341451360959
"76",4,1996,9856.7,9930.760125,12.1819036341495,4.15331667230467,1.05799462522932,1.03576237972233,4.00991265334246,2.93305437444283,0.382274668685374
"77",4,1998,9202.5,9887.872625,11.9335975578777,4.00217409446072,1.08871966600942,1.07251394430755,3.73158234044653,2.98177872231861,0.399978925040071
"78",4,2000,9609.8,9949.797625,12.6341826723397,4.12576930428881,1.14372972411775,1.13203999580805,3.64454376132164,3.06226105739994,0.377566141914274
"79",4,2002,8721.4,9849.248875,11.1576293534647,4.11778267155901,1.23058502046603,1.21214297185205,3.39710971987686,2.70962074577879,0.312641458760811
"80",5,1964,6016.8,7271.1375,8.94086191606318,3.4987841256744,0.610817449432279,0.61640179801199,5.67614198556627,2.55541971007994,0.55443682653413
"81",5,1966,7326.2,7599.35,9.95994275554465,3.5393768206279,0.671270887848805,0.664186646202719,5.32888886108023,2.81403853285611,0.479683682397446
"82",5,1968,7995.5,7577.525,9.78586474214251,3.45199769102815,0.703800014236039,0.691024376000971,4.99547890192414,2.83484104510739,0.443303046407702
"83",5,1970,8115,7496.0125,9.88654652665121,3.44220612337142,0.751846818597015,0.735243791088157,4.68172076404341,2.87215412799509,0.408888942911399
"84",5,1972,8049.4,7683.0375,7.26203376442173,3.25979063872044,0.779435714353767,0.758525676591286,4.29753499363332,2.22776078873344,0.408338564066627
"85",5,1974,6991.4,7651.5875,7.29257273508237,3.41574726990258,0.830144029713423,0.812771807071606,4.20259073971749,2.13498603931852,0.406775961197532
