"obs.num.ext" "ext.rnd.mean" "ext.rnd.lower" "ext.rnd.upper" "ext.z.value" "ext.p.value" "obs.ext.rank" "rank.mean" "rank.lower" "rank.upper" "rank.z.value" "rank.p.value" "neg.rank.z.value" "sis.score" "f_p"
"21" 3 13.8848848848849 13 14 -32.8218893084183 0.001 4.33333333333333 7.51603526603527 7.5 7.76923076923077 -47.8965128400202 0.001 47.8965128400202 7.53731176580095 "1_28"
"22" 4 9.89489489489489 9 10 -19.2114733161554 0.001 2.75 5.51829607385163 5.5 5.77777777777778 -37.4732139139253 0.001 37.4732139139253 9.13087029888492 "1_29"
"23" 7 13.976976976977 14 14 -46.4971653916055 0.001 4 7.4988834988835 7.5 7.5 -204.155987906926 0.001 204.155987906926 78.8294112576605 "1_3"
"24" 7 10.8478478478478 9 13 -3.88923456268837 0.001 4 8.3384632301299 7.55505050505051 9.30166666666667 -9.6835143633423 0.001 9.6835143633423 2.89713990032696 "1_30"
"25" 8 17.8098098098098 15 20 -8.36701119058147 0.001 5.625 10.9339772637889 10.3684210526316 11.7647058823529 -13.9324310880934 0.001 13.9324310880934 2.78270994875594 "1_31"
"26" 7 15.7067067067067 14 16 -16.6450887423538 0.001 4.28571428571429 8.50795264128597 8.26666666666667 8.8 -44.7113930884155 0.001 44.7113930884155 14.0331521730309 "1_32"
"27" 10 16.6116116116116 14 19 -5.69458627344934 0.001 5.5 11.3370304931751 10.5 12.2666666666667 -12.9059706094037 0.001 12.9059706094037 3.60569216797716 "1_33"
"28" 5 13.975975975976 14 14 -56.238008993391 0.001 3.8 7.50171966838634 7.5 7.5 -142.522045271901 0.001 142.522045271901 43.1420181392547 "1_34"
"29" 9 18.8118118118118 17 20 -11.023776813917 0.001 5.22222222222222 10.7174288581667 10.3684210526316 11.3135416666667 -22.1645988917431 0.001 22.1645988917431 5.57041103891309 "1_35"
"30" 8 15.8468468468468 15 16 -20.5460402401646 0.001 4.5 8.50112493445827 8.33333333333333 8.73333333333333 -57.2750482458567 0.001 57.2750482458567 18.364504002846 "1_36"
"31" 6 16.7247247247247 15 18 -12.344333398155 0.001 4.83333333333333 9.8296060766649 9.47058823529412 10.5 -17.2251995481426 0.001 17.2251995481426 2.44043307499381 "1_37"
"32" 8 15.9379379379379 15 16 -32.3331029117511 0.001 4.5 8.5018161018161 8.46666666666667 8.53333333333333 -127.679295299221 0.001 127.679295299221 47.6730961937348 "1_38"
"33" 8 16.0670670670671 14 18 -7.7173253114102 0.001 4.5 9.84999969264675 9.29411764705882 10.6 -15.7012873907376 0.001 15.7012873907376 3.99198103966371 "1_39"
"34" 6 12 12 12 -6e+05 0.001 3.5 6.5 6.5 6.5 -3e+05 0.001 3e+05 -150000 "1_4"
"35" 6 13.3823823823824 12 14 -10.6015792835372 0.001 4.5 7.58392600059267 7.30769230769231 8 -16.3669218245277 0.001 16.3669218245277 2.88267127049524 "1_40"
"36" 6 9.4964964964965 8 11 -3.65416023407128 0.0015 3.5 7.08964187853077 6.33333333333333 8 -8.65322626550673 0.001 8.65322626550673 2.49953301571772 "1_41"
