ID,Field,Plot,X,Y
D2-13,7,13,176,111
D2-14,7,14,166,111
D2-15,7,15,156,111
D2-16,7,16,146,111
D2-17,7,17,136,111
D2-18,7,18,126,111
D2-19,7,19,116,111
D2-20,7,20,106,111
D2-21,7,21,109,118
D2-22,7,22,119,118
D2-23,7,23,129,118
D2-24,7,24,139,118
D2-25,7,25,149,118
D2-26,7,26,159,118
D2-27,7,27,169,118
D2-28,7,28,179,118
D2-29,7,29,189,118
D2-30,7,30,199,118
D2-31,7,31,196,125
D2-32,7,32,186,125
D2-33,7,33,176,125
D2-34,7,34,166,125
D2-35,7,35,156,125
D2-36,7,36,146,125
D2-37,7,37,136,125
D2-38,7,38,126,125
D2-39,7,39,116,125
D2-40,7,40,106,125
D2-41,7,41,109,130
D2-42,7,42,119,130
D2-43,7,43,129,130
D2-44,7,44,139,130
D2-45,7,45,149,130
D2-46,7,46,159,130
D2-47,7,47,169,130
D2-48,7,48,179,130
D3-1,8,1,294,196
D3-2,8,2,284,196
D3-3,8,3,274,196
D3-4,8,4,264,196
D3-5,8,5,261,189
D3-6,8,6,271,189
D3-7,8,7,281,189
D3-8,8,8,291,189
D3-9,8,9,294,182
D3-10,8,10,284,182
D3-11,8,11,274,182
D3-12,8,12,264,182
D3-13,8,13,261,175
D3-14,8,14,271,175
D3-15,8,15,281,175
D3-16,8,16,291,175
D3-17,8,17,294,168
D3-18,8,18,284,168
D3-19,8,19,274,168
D3-20,8,20,264,168
D3-21,8,21,261,161
D3-22,8,22,271,161
D3-23,8,23,281,161
D3-24,8,24,291,161
D3-25,8,25,294,154
D3-26,8,26,284,154
D3-27,8,27,274,154
D3-28,8,28,264,154
D3-29,8,29,261,147
D3-30,8,30,271,147
D3-31,8,31,281,147
D3-32,8,32,291,147
D3-33,8,33,294,140
D3-34,8,34,284,140
D3-35,8,35,274,140
D3-36,8,36,264,140
D3-37,8,37,261,133
D3-38,8,38,271,133
D3-39,8,39,281,133
D3-40,8,40,291,133
D3-41,8,41,294,126
D3-42,8,42,284,126
D3-43,8,43,274,126
D3-44,8,44,264,126
D3-45,8,45,261,119
D3-46,8,46,271,119
D3-47,8,47,281,119
D3-48,8,48,291,119
E1-1,9,1,6,15
E1-2,9,2,16,15
E1-3,9,3,26,15
E1-4,9,4,36,15
E1-5,9,5,46,15
E1-6,9,6,56,15
E1-7,9,7,66,15
E1-8,9,8,76,15
E1-9,9,9,86,15
E1-10,9,10,96,15
E1-11,9,11,94,27
E1-12,9,12,84,27
E1-13,9,13,74,27
E1-14,9,14,64,27
E1-15,9,15,54,27
E1-16,9,16,44,27
E1-17,9,17,34,27
E1-18,9,18,24,27
E1-19,9,19,14,27
E1-20,9,20,4,27
E1-21,9,21,6,39
E1-22,9,22,16,39
E1-23,9,23,26,39
E1-24,9,24,36,39
E1-25,9,25,46,39
E1-26,9,26,56,39
E1-27,9,27,66,39
E1-28,9,28,76,39
E1-29,9,29,86,39
E1-30,9,30,96,39
E1-31,9,31,94,51
E1-32,9,32,84,51
E1-33,9,33,74,51
E1-34,9,34,64,51
E1-35,9,35,54,51
E1-36,9,36,44,51
E1-37,9,37,34,51
E1-38,9,38,24,51
E1-39,9,39,14,51
E1-40,9,40,4,51
E1-41,9,41,6,63
E1-42,9,42,16,63
E1-43,9,43,26,63
E1-44,9,44,36,63
E1-45,9,45,46,63
E1-46,9,46,56,63
E1-47,9,47,66,63
E1-48,9,48,76,63
E2-1,10,1,106,15
E2-2,10,2,116,15
E2-3,10,3,126,15
E2-4,10,4,136,15
E2-5,10,5,146,15
E2-6,10,6,156,15
E2-7,10,7,166,15
E2-8,10,8,176,15
E2-9,10,9,186,15
E2-10,10,10,196,15
E2-11,10,11,194,27
E2-12,10,12,184,27
E2-13,10,13,174,27
E2-14,10,14,164,27
E2-15,10,15,154,27
E2-16,10,16,144,27
E2-17,10,17,134,27
E2-18,10,18,124,27
E2-19,10,19,114,27
E2-20,10,20,104,27
E2-21,10,21,106,39
E2-22,10,22,116,39
E2-23,10,23,126,39
E2-24,10,24,136,39
E2-25,10,25,146,39
E2-26,10,26,156,39
E2-27,10,27,166,39
E2-28,10,28,176,39
E2-29,10,29,186,39
E2-30,10,30,196,39
E2-31,10,31,194,51
E2-32,10,32,184,51
E2-33,10,33,174,51
E2-34,10,34,164,51
E2-35,10,35,154,51
E2-36,10,36,144,51
E2-37,10,37,134,51
E2-38,10,38,124,51
E2-39,10,39,114,51
E2-40,10,40,104,51
E2-41,10,41,106,63
E2-42,10,42,116,63
E2-43,10,43,126,63
E2-44,10,44,136,63
E2-45,10,45,146,63
E2-46,10,46,156,63
E2-47,10,47,166,63
E2-48,10,48,176,63
